,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
2020-01-16 02:00:00,731,661,751,754,664,731,751,525,696,704,614,850,715,751,917,680,724,642,899,727,877,741,904,696,752,725,726,724,756,666,525,659,754,688,762,815,720,715,739,730,668,875,752,711,696,725,661,654,764,676
2020-01-16 02:15:00,731,661,751,754,664,731,751,663,696,704,614,850,715,751,917,680,724,642,899,727,877,741,904,696,752,725,726,724,756,666,525,659,754,688,762,815,720,715,739,730,668,875,752,711,696,725,661,654,764,676
2020-01-16 02:30:00,731,661,751,754,664,731,751,718,696,704,614,850,715,751,917,680,724,642,899,727,877,741,904,696,752,725,726,724,756,666,539,659,754,688,762,815,720,715,739,730,668,875,752,711,696,725,661,654,764,676
2020-01-16 02:45:00,731,661,751,754,664,731,751,718,696,704,614,850,715,751,917,680,724,642,899,727,877,741,904,696,752,725,726,724,756,666,665,659,754,688,762,815,720,715,739,730,668,875,752,711,696,725,661,654,764,676
2020-01-16 03:00:00,731,661,751,754,664,731,751,718,696,704,614,850,715,751,917,680,724,642,899,727,877,741,904,696,752,725,726,724,756,666,665,659,754,688,762,815,720,715,739,730,668,875,752,711,696,725,661,654,764,676
2020-01-16 03:15:00,731,661,751,754,664,731,751,718,696,704,614,848,715,751,917,680,724,642,0,727,877,741,904,696,0,725,726,724,756,666,665,659,754,688,762,815,720,715,739,730,668,0,752,711,696,725,661,654,764,676
2020-01-16 03:30:00,731,661,751,754,664,525,751,718,696,704,614,850,715,525,917,680,525,642,0,727,877,741,904,696,0,725,525,724,756,666,665,659,754,525,762,815,720,715,525,730,668,0,525,711,696,725,661,654,764,676
2020-01-16 03:45:00,731,525,751,550,664,731,751,525,696,602,614,850,715,577,525,680,621,642,0,727,877,741,904,525,0,725,525,724,756,666,665,659,754,525,762,815,720,715,525,730,668,875,569,711,525,725,661,654,764,653
2020-01-16 04:00:00,731,661,751,754,664,731,751,718,696,704,614,850,597,751,525,680,724,642,899,727,877,741,904,696,752,725,699,724,756,666,665,659,754,525,591,525,720,715,525,730,668,875,752,711,696,725,661,654,764,676
2020-01-16 04:15:00,731,661,751,754,664,731,751,718,696,704,614,850,715,751,525,680,724,642,899,727,877,741,904,696,752,725,726,724,756,666,665,659,754,688,762,815,720,715,580,730,668,875,752,711,696,725,661,654,764,676
2020-01-16 04:30:00,731,661,751,754,664,731,751,718,696,704,614,850,715,751,525,680,724,642,899,727,877,741,904,696,752,725,726,724,756,666,665,659,754,688,762,815,720,715,739,730,668,875,752,711,696,725,661,654,764,676
2020-01-16 04:45:00,731,661,751,754,664,731,751,718,696,704,614,850,715,751,916,680,724,642,899,727,877,741,904,696,752,725,726,724,756,666,665,659,754,688,762,815,720,715,739,730,668,875,752,711,696,725,661,654,764,676
2020-01-16 05:00:00,731,661,751,754,664,731,751,718,696,704,614,850,715,751,917,680,724,642,899,727,877,741,904,696,752,725,726,724,756,666,665,659,754,688,762,815,720,715,739,730,668,875,752,711,696,725,661,654,764,676
2020-01-16 05:15:00,731,661,751,754,664,731,751,718,696,704,614,850,715,751,917,680,724,642,899,727,877,741,525,696,752,725,726,724,756,666,665,659,754,688,762,815,720,715,739,525,668,875,752,711,696,725,661,654,764,676
2020-01-16 05:30:00,731,661,751,754,664,731,751,718,696,704,614,850,715,751,917,680,724,642,899,727,877,741,904,696,752,725,726,724,756,666,665,659,754,688,762,815,720,715,739,730,668,875,752,711,696,725,661,654,764,676
2020-01-16 05:45:00,731,661,751,754,664,731,751,718,696,704,614,850,715,751,917,680,724,642,899,727,877,741,904,696,752,725,726,724,756,666,665,659,754,688,762,815,720,715,739,730,668,875,752,711,696,725,661,654,764,676
